rank,id,county_name,media_market,enrollment_score
289,772ba42f2fdc29862d56aeb63acb7861,harris,houston tx,0.8017276733735245
290,f89670060fa1b0a67cadbc4e5578db13,washington,houston tx,0.8016774363343442
291,f806802c66c2ec15ce698ca91007546c,brazoria,houston tx,0.8016483094493226
292,4c10230e761149267d788d5d35c4c1ee,harris,houston tx,0.8010162028796517
293,c978a2dea73d5bbe59e20687c9b4e9f1,harris,houston tx,0.8001733050871287
294,eb79a0a43a2306cfa36718a092590fbd,galveston,houston tx,0.7998590420064584
295,9d64e2128afe51f8f2d6d71455125a8c,harris,houston tx,0.7993815219051139
296,167287bcc59f8ca930a20d6aa2dc7198,harris,houston tx,0.7990254641923298
297,2d71ef49f88f652af058f62cd4a7568a,montgomery,houston tx,0.7990127056961216
298,dbbd72611fa934a112db8ef573c1a9a8,fort bend,houston tx,0.7987104414646107
299,aa58d609a6fabb10685e624f9cb76928,harris,houston tx,0.7983246026335327
300,649d48a84976949d63a50617ac179aeb,galveston,houston tx,0.7977340013942364
301,25fa5d8ca6e3385549f3ec80237b8f4d,harris,houston tx,0.7967837325694478
302,565cea8307c8e5685cabdd60c6eaa915,galveston,houston tx,0.7967596838231517
303,32a45020d0b7e668f26a79cb0b0a338f,san jacinto,houston tx,0.7961713257143739
304,bf027eeeecea28a7776421d42477fe31,walker,houston tx,0.7959615984240757
305,3d31552c5cb570c6812175524529841f,polk,houston tx,0.7951413820109408
306,a27ccebee2b24f18d5c64bc8a04dfb98,montgomery,houston tx,0.7950014754981216
307,4a5501603492489e17088287d2713061,montgomery,houston tx,0.7947929130497258
308,2e80656dbaa9106a5899475ad8ea4853,harris,houston tx,0.7939859778579132
309,1467ef0ac580983b8b843097cbb6be78,harris,houston tx,0.7926681259031129
310,4fe2ba8c0b4a84f5951b8e7edf2b47e3,montgomery,houston tx,0.7925440492172617
311,7c712b83af3662c3486c499954e338ad,fort bend,houston tx,0.7925054769243309
312,73aaf9edb8f2ea64c73ec1c23123d2d4,harris,houston tx,0.7915464148881468
313,65b4d327c42ec49a28b6cb47a49f4ac1,brazoria,houston tx,0.7912311812549041
314,5288a6f72b485bea6c7cf432db54af7e,harris,houston tx,0.7911723676916245
315,eeb93c38e97fac2d746deb5e7fb59683,harris,houston tx,0.7909609189800764
316,63f4548a10139fea515fe6b7daf22909,brazoria,houston tx,0.7909002438205218
317,d92aba1834ae58917d5f29c86980696b,harris,houston tx,0.7907530643864216
318,bc27a566d0636296fe6e4b929c251283,harris,houston tx,0.790677942617958
319,6aa64760efbb2d0d06febfb39f825885,matagorda,houston tx,0.7902517755822975
320,8c0fd760a5680a98a4bf23522c1cec63,brazoria,houston tx,0.7898836112841614
321,333c483360aea162305f80718ad90b4b,montgomery,houston tx,0.7882604886668848
322,1d0a750529b2dff728f74a4e189b5bb2,harris,houston tx,0.7879919684467236
323,1a14a95b6da3ed304382bfbfdc096a24,harris,houston tx,0.7874164662146848
324,19d91cb2e0e329ed5ef3efb48cf855d4,galveston,houston tx,0.7869372640380836
325,cffefc178521bb36d6622f4fa45948dc,harris,houston tx,0.7866813317331482
326,bc329188c9280d4932f03636efc48c12,harris,houston tx,0.7862313284216538
327,163718c9a00e2c1de5cc44ee8a700433,harris,houston tx,0.7861882813404282
328,d9b28fe3e213d8b1dbf8c437b541dd47,harris,houston tx,0.7860471815252899
329,7f4cf449a4404bae123bbb7d5d4420a4,montgomery,houston tx,0.7859032246079363
330,400dcc0792f89880a769bce40415e4ac,harris,houston tx,0.7857211530203068
331,74ab8b0f646ff9a5a650af43f3985aab,fort bend,houston tx,0.7850569506309031
332,a640493a7a37dd94e03dc0f39844e4e6,harris,houston tx,0.7849890139303042
